date,weight_kg,trend_weight_kg,calories_kcal,protein_g,fat_g,carbs_g,target_calories_kcal,target_protein_g,target_fat_g,target_carbs_g,expenditure_kcal,steps,notes,estimated_deficit_kcal,calorie_difference,protein_difference,fat_difference,carbs_difference,met_protein_target,exceeded_calorie_target,protein_per_kg,week,trend_weight_change,scale_weight_change
2026-02-11,94.0,93.85,2161.0,124.0,62.0,293.0,1738.0,239.0,57.0,64.0,2462,13835,,301.0,423.0,-115.0,5.0,229.0,False,True,1.321257325519446,2026-02-09/2026-02-15,,
2026-02-12,92.4,93.7,1825.0,149.0,58.0,178.0,1738.0,199.0,57.0,104.0,2462,15332,,637.0,87.0,-50.0,1.0,74.0,False,True,1.5901814300960513,2026-02-09/2026-02-15,-0.14999999999999147,-1.5999999999999943
2026-02-13,91.7,93.5,2326.0,205.0,117.0,112.0,1738.0,199.0,57.0,104.0,2462,12643,,136.0,588.0,6.0,60.0,8.0,True,True,2.192513368983957,2026-02-09/2026-02-15,-0.20000000000000284,-0.7000000000000028
2026-02-14,,93.3,1772.0,192.0,39.0,159.0,1738.0,199.0,57.0,104.0,2464,14549,,692.0,34.0,-7.0,-18.0,55.0,False,True,2.057877813504823,2026-02-09/2026-02-15,-0.20000000000000284,
2026-02-15,,93.09,1824.0,182.0,60.0,144.0,1738.0,199.0,57.0,104.0,2467,4208,,643.0,86.0,-17.0,3.0,40.0,False,True,1.9550972177462669,2026-02-09/2026-02-15,-0.20999999999999375,
2026-02-16,91.0,92.88,1618.0,194.0,57.0,82.0,1771.0,193.0,59.0,116.0,2472,9579,,854.0,-153.0,1.0,-2.0,-34.0,True,False,2.0887166236003445,2026-02-16/2026-02-22,-0.21000000000000796,
2026-02-17,90.5,92.64,,,,,,,,,2479,7229,incomplete,,,,,,False,False,,2026-02-16/2026-02-22,-0.23999999999999488,-0.5
2026-02-18,92.3,92.61,1026.0,125.0,35.0,53.0,1771.0,193.0,59.0,116.0,2483,10873,,1457.0,-745.0,-68.0,-24.0,-63.0,False,False,1.3497462477054314,2026-02-16/2026-02-22,-0.030000000000001137,1.7999999999999972
2026-02-19,,92.46,1763.0,207.0,81.0,55.0,1771.0,193.0,59.0,116.0,2487,19586,,724.0,-8.0,14.0,22.0,-61.0,True,False,2.238805970149254,2026-02-16/2026-02-22,-0.15000000000000568,
2026-02-20,90.0,92.22,1687.0,207.0,35.0,135.0,1771.0,193.0,59.0,116.0,2493,14984,,806.0,-84.0,14.0,-24.0,19.0,True,False,2.2446324007807417,2026-02-16/2026-02-22,-0.23999999999999488,
2026-02-21,90.7,92.07,1759.0,163.0,76.0,106.0,1771.0,193.0,59.0,116.0,2497,9243,,738.0,-12.0,-30.0,17.0,-10.0,False,False,1.7703920929727384,2026-02-16/2026-02-22,-0.15000000000000568,0.7000000000000028
2026-02-22,91.1,91.97,1759.0,192.0,63.0,97.0,1771.0,193.0,59.0,116.0,2501,12176,,742.0,-12.0,-1.0,4.0,-19.0,False,False,2.087637273023812,2026-02-16/2026-02-22,-0.09999999999999432,0.3999999999999915
2026-02-23,91.1,91.88,2056.0,185.0,45.0,197.0,1800.0,194.0,60.0,120.0,2503,9165,,447.0,256.0,-9.0,-15.0,77.0,False,True,2.0134958641706575,2026-02-23/2026-03-01,-0.09000000000000341,0.0
